"","DBN","TotalEnrollment","ENI","PercentBlack","PercentSWD","PercentPoverty","self_contained","AllStudents_CA","AllStudents_PA","SWD_CA","SWD_PA","gifted","gifted_only","treatment"
"255","11X111",677,0.87,0.607,0.291,0.926,1,28.7,91.9,51.4,88.6,0,0,0
"256","11X112",432,0.924,0.486,0.238,0.975,1,40,90.8,33.3,91.4,0,0,0
"257","11X121",917,0.753,0.559,0.188,0.695,1,29.8,91.9,50,89,1,0,0
"258","11X153",649,0.507,0.581,0.123,0.656,1,11,95.8,8.3,94.8,1,0,0
"259","11X160",410,0.581,0.624,0.237,0.724,1,13.3,95.3,10,96.3,0,0,0
"260","11X169",409,0.719,0.733,0.178,0.856,1,18.1,93.3,33.3,91.6,0,0,0
"261","11X175",332,0.376,0.09,0.187,0.527,0,16.2,95.1,22.2,94.6,0,0,1
"262","11X178",435,0.599,0.591,0.232,0.809,1,13.5,94.5,18.8,93.7,0,0,0
"263","11X189",373,0.809,0.493,0.204,0.887,1,28.6,92.6,38.9,91.2,0,0,0
"264","11X194",1326,0.85,0.06,0.15,0.82,1,21,93.6,38.9,90.7,0,0,0
"265","11X357",347,0.797,0.078,0.124,0.865,0,21.4,93.4,45.5,91.3,0,0,1
"266","11X498",636,0.71,0.119,0.217,0.766,1,8.2,95.6,11.1,94.8,0,0,0
"267","11X567",407,0.834,0.15,0.248,0.786,0,16.7,93.8,22.2,93.4,0,0,1
"268","12X006",529,0.965,0.212,0.24,0.991,1,48.8,88,52,88.9,0,0,0
"269","12X044",275,0.972,0.4,0.204,0.964,0,53.5,88.6,33.3,91.2,0,0,1
"270","12X047",1075,0.923,0.157,0.191,0.972,1,22.2,92.9,43.8,89.5,0,0,0
"271","12X057",509,0.941,0.22,0.238,0.898,1,47.8,88.4,59.3,85.3,0,0,0
"272","12X061",292,0.953,0.199,0.182,0.976,1,19.4,94,25,93.7,0,0,0
"273","12X066",669,0.94,0.268,0.221,0.897,1,42.3,89.5,57.6,87.5,0,0,0
"274","12X067",533,0.962,0.25,0.206,0.917,1,40,90.1,40.7,89.4,0,0,0
"275","12X134",651,0.933,0.402,0.203,0.952,1,42.5,89.9,57.1,86.5,0,0,0
"276","12X150",857,0.943,0.201,0.245,0.95,1,47.7,89.3,61.4,86.1,0,0,0
"277","12X195",964,0.96,0.162,0.216,0.939,1,32.5,90.9,37.8,89.2,0,0,0
"278","12X196",934,0.949,0.152,0.203,0.911,1,25.8,93.2,40.9,91.2,0,0,0
"279","12X211",598,0.952,0.139,0.212,0.93,1,17.2,93.6,25,94,0,0,0
"280","12X212",437,0.937,0.346,0.151,0.982,1,35.9,90.8,30.19986,91.86482,0,0,0
"281","12X214",1078,0.914,0.25,0.192,0.894,1,30.7,91.6,46.4,89.4,1,0,0
"282","12X300",614,0.936,0.362,0.308,0.901,1,36.6,90.2,38.5,89,0,0,0
"283","12X314",317,0.951,0.36,0.312,0.981,1,27.3,93,10,96.1,0,0,0
"284","12X458",208,0.872,0.115,0.192,0.957,0,7.5,93.7,25,91.3,0,0,1
"285","12X463",263,0.952,0.445,0.251,0.966,1,31.5,92.7,43.5,90.4,0,0,0
"286","12X531",501,0.897,0.251,0.265,0.97,1,40,90.9,41.7,91.2,0,0,0
"287","12X536",431,0.91,0.239,0.162,0.944,1,33.3,91.1,50,88.8,0,0,0
"288","12X691",298,0.848,0.178,0.228,0.913,0,25.5,93,41.7,90.4,0,0,1
"289","13K003",386,0.859,0.759,0.187,0.925,1,41.1,90.1,69.2,85.9,0,0,0
"290","13K008",916,0.193,0.152,0.126,0.191,0,10.7,95.7,15.4,95.3,0,0,1
"291","13K009",912,0.412,0.413,0.159,0.423,1,15.7,94.6,16.7,93.6,1,0,0
"292","13K011",894,0.477,0.647,0.113,0.456,1,6.4,96,12.5,95.4,0,0,0
"293","13K020",457,0.529,0.486,0.14,0.632,0,29.5,91.7,18.2,93.8,0,0,1
"294","13K044",139,0.927,0.835,0.237,0.964,1,38.9,92.1,30.19986,91.86482,0,0,0
"295","13K046",279,0.864,0.48,0.312,0.9,1,43.6,89.6,28.6,92.3,0,0,0
"296","13K054",208,0.895,0.538,0.202,0.942,0,52.8,89.8,62.5,87.7,0,0,1
"297","13K056",215,0.706,0.651,0.2,0.758,1,47.5,89.3,70,84.9,1,0,0
"298","13K067",219,0.972,0.589,0.361,0.995,1,18.9,93.9,14.3,94,0,0,0
"299","13K093",277,0.913,0.664,0.209,0.975,1,51.1,87.1,60,88.2,0,0,0
"300","13K133",774,0.446,0.256,0.159,0.371,1,16.1,94.3,26.9,92.3,0,0,0
"301","13K256",230,0.948,0.691,0.222,0.983,1,39.5,90.6,30,91.2,0,0,0
"302","13K270",108,0.914,0.685,0.296,0.889,1,43.8,85.5,28.6,91.6,0,0,0
"303","13K282",742,0.597,0.527,0.187,0.559,1,20.5,94.1,30.8,94.2,1,0,0
"304","13K287",179,0.909,0.676,0.268,0.933,0,47.6,87.8,41.7,86.7,0,0,1
"305","13K305",139,0.923,0.698,0.245,0.971,1,40,90.3,42.9,86.7,0,0,0
"306","13K307",366,0.825,0.56,0.369,0.792,1,27.6,91.2,42.9,89.2,0,0,0
"307","13K492",519,0.366,0.318,0.214,0.306,0,3.5,96.3,10,96.5,0,0,1
"308","14K016",223,0.964,0.341,0.305,0.924,1,34.6,91.3,55.6,90,0,0,0
"309","14K017",275,0.745,0.044,0.353,0.709,1,15.9,93.9,14.3,93.8,0,0,0
"310","14K018",178,0.854,0.202,0.343,0.882,1,42.3,92.2,47.1,92.1,0,0,0
"311","14K023",286,0.948,0.507,0.325,0.906,1,46,88,48,88,0,0,0
"312","14K031",592,0.577,0.046,0.154,0.725,0,21.4,93.2,37.5,92.7,0,0,1
"313","14K034",482,0.391,0.046,0.141,0.29,0,17.3,93.7,28.6,92.5,0,0,1
"314","14K059",312,0.959,0.51,0.266,0.952,1,32.1,91.1,46.2,88.8,0,0,0
"315","14K084",793,0.58,0.038,0.165,0.485,0,23.3,93.1,25,91.7,0,0,1
"316","14K110",523,0.353,0.034,0.098,0.273,0,10.7,95,16.7,93.5,0,0,1
"317","14K120",415,0.92,0.19,0.236,0.882,1,30.2,92.2,47.4,89.9,0,0,0
"318","14K132",723,0.537,0.141,0.12,0.429,1,17.9,93.9,36.4,88.6,1,0,0
"319","14K147",360,0.785,0.192,0.192,0.731,1,24.5,92.5,33.3,89.8,0,0,0
"320","14K157",479,0.92,0.182,0.28,0.873,1,38.2,90.8,30.8,91.9,0,0,0
"321","14K196",317,0.884,0.202,0.29,0.88,1,34.4,91.4,46.7,88.9,0,0,0
"322","14K250",488,0.859,0.111,0.141,0.805,1,42.4,90.3,55,88.2,0,0,0
"323","14K257",630,0.895,0.229,0.267,0.844,1,26.8,92.8,35.7,91.4,0,0,0
"324","14K297",223,0.96,0.381,0.229,0.928,0,38.9,91.4,58.3,88.3,0,0,1
"325","14K380",584,0.875,0.192,0.271,0.803,1,24,93.3,33.3,92.1,0,0,0
"326","14K414",597,0.616,0.027,0.221,0.628,1,17.8,94.2,35,91.8,0,0,0
"327","15K001",1294,0.897,0.008,0.175,0.863,1,13,95.3,22.2,93.5,0,0,0
"328","15K010",933,0.33,0.071,0.218,0.241,1,7.3,95.7,13.2,95.2,0,0,0
"329","15K015",497,0.777,0.342,0.324,0.726,1,28.6,92.7,28.6,92.5,0,0,0
"330","15K024",655,0.886,0.02,0.185,0.953,0,14,95.4,22.9,94.2,0,0,1
"331","15K029",927,0.114,0.032,0.124,0.123,0,4.2,96.7,9.1,96,0,0,1
"332","15K032",531,0.466,0.228,0.252,0.45,0,28.2,92.9,31,91.9,1,1,1
"333","15K038",574,0.542,0.294,0.143,0.519,1,23.9,92.5,42.9,88.5,1,0,0
"334","15K039",410,0.182,0.059,0.127,0.137,0,3.8,96,0,95.8,0,0,1
"335","15K058",993,0.118,0.029,0.144,0.11,1,0,96.4,0,96.7,0,0,0
"336","15K094",1380,0.948,0.005,0.084,0.986,1,6.2,97.3,8,94.4,0,0,0
"337","15K107",567,0.093,0.037,0.146,0.079,0,1.1,97.1,0,97.4,0,0,1
"338","15K118",307,0.133,0.114,0.117,0.14,0,2.1,96.1,0,95.2,0,0,1
"339","15K124",344,0.708,0.035,0.198,0.677,0,18.4,95.1,22.2,94.5,0,0,1
"340","15K130",832,0.485,0.069,0.22,0.411,0,5.6,95.6,9.4,94.4,0,0,1
"341","15K131",999,0.908,0.014,0.181,0.871,1,12.7,95.5,13.5,94.8,0,0,0
"342","15K146",686,0.38,0.198,0.294,0.35,0,19.8,94.3,30,92,0,0,1
"343","15K154",514,0.205,0.021,0.193,0.136,0,6.5,96,9.1,95.1,0,0,1
"344","15K169",1496,0.942,0.011,0.172,0.922,1,7,96.9,8.8,95.5,0,0,0
"345","15K172",593,0.739,0.032,0.307,0.872,0,5.7,95.8,3,95.6,0,0,1
"346","15K230",1168,0.769,0.019,0.171,0.723,1,11.2,95.6,7.1,95,1,0,0
"347","15K261",803,0.377,0.229,0.186,0.369,1,14.6,93.9,29.2,90.9,0,0,0
"348","15K295",452,0.522,0.053,0.312,0.442,0,11.9,96,11.1,96.9,0,0,1
"349","15K321",1421,0.069,0.034,0.146,0.075,0,2,96.4,2.9,96.1,0,0,1
"350","15K516",432,0.843,0.005,0.204,0.877,0,10.9,95.3,31.3,92.6,0,0,1
"351","15K676",193,0.949,0.435,0.316,0.979,1,43.9,89.3,43.8,87.6,0,0,0
"352","16K005",208,0.856,0.832,0.37,0.894,1,29.5,89.5,16.7,93.1,0,0,0
"353","16K021",573,0.83,0.85,0.206,0.761,1,29.7,91.7,34.6,90.2,0,0,0
"354","16K025",102,0.956,0.686,0.245,0.99,1,42.9,89.4,42.9,84.4,0,0,0
"355","16K026",226,0.859,0.624,0.226,0.814,1,42.6,90.5,45.5,88.2,1,0,0
"356","16K028",134,0.92,0.828,0.313,0.948,1,40.6,89.1,44.4,89.1,0,0,0
"357","16K040",318,0.921,0.682,0.208,0.881,1,31.3,92.6,25,93.9,0,0,0
"358","16K081",299,0.928,0.612,0.351,0.92,1,50.9,87.5,50,87,0,0,0
"359","16K243",227,0.939,0.727,0.335,0.956,1,40.9,90.6,38.9,91.1,0,0,0
"360","16K262",179,0.862,0.832,0.179,0.955,0,30.2,92.4,30,92.8,0,0,1
"361","16K308",275,0.913,0.764,0.269,0.902,1,48.3,86.9,41.7,85.9,0,0,0
"362","16K309",210,0.846,0.586,0.243,0.833,1,31.7,91.7,18.8,94.2,0,0,0
"363","16K335",246,0.9,0.797,0.228,0.911,1,47.7,90.1,66.7,89.9,0,0,0
"364","16K627",303,0.803,0.611,0.185,0.845,1,46.2,90.3,66.7,88.7,0,0,0
"365","16K628",266,0.675,0.707,0.169,0.692,0,14.8,94.6,30.19986,91.86482,0,0,1
"366","17K006",667,0.881,0.718,0.21,0.868,1,28.1,92.1,34.6,90,0,0,0
"367","17K012",282,0.912,0.716,0.284,0.954,1,47.6,89.3,40,91.6,0,0,0
"368","17K091",260,0.848,0.831,0.246,0.95,1,42.6,90.6,54.5,91,0,0,0
"369","17K092",424,0.85,0.712,0.198,0.922,1,36.4,91.5,63.6,86.8,0,0,0
"370","17K138",565,0.811,0.795,0.181,0.938,1,41.8,90,80,82.3,0,0,0
"371","17K161",367,0.823,0.831,0.237,0.935,1,38.7,90.6,38.1,89.9,1,0,0
"372","17K181",689,0.808,0.84,0.197,0.765,1,20.3,92.8,30,89.3,0,0,0
"373","17K189",1054,0.831,0.695,0.141,0.93,1,27.2,93.2,37.5,92,0,0,0
"374","17K191",170,0.95,0.8,0.282,0.971,1,51.7,88.6,50,88.7,0,0,0
"375","17K221",300,0.834,0.867,0.197,0.923,1,35.1,90.3,33.3,88.9,0,0,0
"376","17K241",521,0.801,0.858,0.115,0.881,0,23.5,93.4,20,93.6,0,0,1
"377","17K249",873,0.811,0.411,0.183,0.787,1,14,94.5,28.6,93.6,0,0,0
"378","17K289",394,0.855,0.731,0.244,0.815,1,38,89.9,37.5,88.7,0,0,0
"379","17K316",539,0.647,0.701,0.158,0.672,0,20,93.4,11.8,93.2,1,1,1
"380","17K375",387,0.856,0.646,0.245,0.928,1,17.2,94.8,40,88.7,0,0,0
"381","17K394",477,0.857,0.721,0.145,0.885,1,40.5,90,44.4,85.9,0,0,0
"382","17K397",195,0.829,0.692,0.159,0.887,0,25.7,93.1,30,93.7,0,0,1
"383","17K398",297,0.92,0.815,0.263,0.966,1,33.3,90.8,52.6,85.6,0,0,0
"384","17K399",400,0.824,0.743,0.147,0.955,1,39.8,90.5,75,81.6,0,0,0
"385","17K532",468,0.871,0.699,0.241,0.865,0,28.6,92.8,32.1,92.9,0,0,1
"386","17K705",398,0.612,0.462,0.261,0.628,1,21.8,92.9,25,92.5,0,0,0
"387","17K770",289,0.582,0.585,0.17,0.574,0,6.7,95.4,0,96.8,0,0,1
"388","18K066",822,0.608,0.872,0.118,0.727,1,16.7,94,23.1,91.9,0,0,0
"389","18K114",522,0.821,0.824,0.249,0.789,1,33.3,91.9,25,92.2,0,0,0
"390","18K115",971,0.667,0.815,0.188,0.64,1,15.7,93.9,16.2,93.9,1,0,0
"391","18K135",574,0.806,0.807,0.129,0.882,1,13.7,94.5,27.8,91.8,0,0,0
"392","18K208",380,0.72,0.913,0.274,0.845,1,36.1,90.8,55,87.2,0,0,0
"393","18K219",534,0.834,0.85,0.251,0.801,1,42.7,89.5,57.7,87.3,0,0,0
"394","18K233",457,0.721,0.919,0.21,0.864,1,20.4,93.6,18.2,94.5,0,0,0
"395","18K235",1254,0.565,0.928,0.089,0.723,1,19.6,94.3,43.3,90.4,0,0,0
"396","18K244",494,0.711,0.917,0.251,0.82,1,30.1,91.8,42.3,88.9,0,0,0
"397","18K268",383,0.819,0.909,0.164,0.872,0,25,92.2,72.7,85.7,0,0,1
"398","18K272",473,0.881,0.765,0.319,0.926,1,46.3,89.4,51.4,89.3,0,0,0
"399","18K276",616,0.712,0.872,0.192,0.791,1,20.7,93.9,29.6,93.3,0,0,0
"400","18K279",404,0.674,0.886,0.136,0.802,1,23.1,93.8,28.6,93,0,0,0
"401","19K007",879,0.82,0.093,0.196,0.924,1,26.2,92.9,51.6,89.7,0,0,0
"402","19K013",489,0.946,0.648,0.27,0.949,1,36.5,91.2,42.9,90.8,0,0,0
"403","19K065",617,0.866,0.076,0.12,0.828,0,26,92.5,62.5,87.8,0,0,1
"404","19K089",457,0.87,0.031,0.256,0.928,1,20,93.6,22.2,94.7,0,0,0
"405","19K108",959,0.862,0.112,0.239,0.825,1,26.5,92.9,29.4,91.7,0,0,0
"406","19K149",681,0.909,0.593,0.182,0.957,1,44.7,90.1,36.7,90.2,1,0,0
"407","19K158",589,0.909,0.486,0.188,0.896,1,38.4,90.9,47.6,89.3,0,0,0
"408","19K159",798,0.899,0.31,0.163,0.857,1,31.3,91.8,56.5,88.5,0,0,0
"409","19K190",185,0.913,0.773,0.168,0.973,1,61.3,84,71.4,82.2,0,0,0
"410","19K202",439,0.928,0.588,0.292,0.957,1,50,88.6,50,88.6,0,0,0
"411","19K213",285,0.945,0.695,0.182,0.947,1,56.5,88.6,83.3,87.4,0,0,0
"412","19K214",914,0.884,0.116,0.165,0.828,1,36.9,91,45.8,88.7,0,0,0
"413","19K224",412,0.928,0.641,0.231,0.956,1,64.1,87,76.9,85.2,0,0,0
"414","19K273",371,0.89,0.768,0.272,0.865,1,36.7,89.9,26.7,91.4,0,0,0
"415","19K290",525,0.889,0.208,0.232,0.954,1,15.8,93.5,24,92.4,0,0,0
"416","19K306",329,0.967,0.705,0.362,0.96,1,54.2,89.2,67.9,86.8,0,0,0
"417","19K325",211,0.915,0.697,0.242,0.943,1,53.8,87.4,61.5,86.5,0,0,0
"418","19K328",289,0.971,0.533,0.266,0.979,1,38.1,91.3,71.4,88.8,0,0,0
"419","19K345",535,0.9,0.333,0.164,0.86,1,36.7,91.3,40,91.6,0,0,0
"420","19K346",581,0.748,0.639,0.227,0.854,1,26.9,92.2,42.9,91.4,0,0,0
"421","19K557",308,0.969,0.659,0.334,0.974,1,37.3,91.5,22.7,92.9,0,0,0
"422","19K677",536,0.914,0.485,0.209,0.899,1,40.5,90.2,55,88,0,0,0
"423","20K030",911,0.761,0.015,0.203,0.806,1,10.4,95.9,7.4,95,0,0,0
"424","20K048",593,0.797,0.01,0.212,0.739,1,26.2,92.8,31.6,90.9,0,0,0
"425","20K069",785,0.924,0.003,0.113,0.972,1,3.5,98,0,96.6,0,0,0
"426","20K102",1432,0.627,0.01,0.182,0.656,1,7.3,96,9.4,95.4,1,0,0
"427","20K104",1265,0.55,0.043,0.15,0.644,1,8.9,95.8,23.5,92,1,0,0
"428","20K105",1507,0.927,0.003,0.07,0.898,1,1.9,98.6,0,98.9,0,0,0
"429","20K112",681,0.756,0.001,0.182,0.721,1,12.2,95.7,15.4,93.7,0,0,0
"430","20K127",538,0.669,0.009,0.206,0.816,1,15.7,94.3,31.3,91.6,0,0,0
"431","20K160",1274,0.92,0.006,0.129,0.87,1,4,98.1,11.8,96.3,0,0,0
"432","20K163",633,0.761,0.013,0.193,0.812,1,17.5,95.3,28.6,94,0,0,0
"433","20K164",709,0.894,0.016,0.178,0.842,1,6.5,96.5,5,96.2,1,0,0
"434","20K170",1035,0.828,0.005,0.164,0.912,1,8.7,96.5,18.5,93.4,0,0,0
"435","20K176",1334,0.799,0.006,0.108,0.87,1,3.8,97.8,8.8,96.5,1,0,0
"436","20K179",884,0.904,0.04,0.172,0.873,1,20.4,94,32.3,92,0,0,0
"437","20K180",1136,0.847,0.008,0.158,0.884,1,12.2,95.9,28.6,94,0,0,0
"438","20K185",652,0.39,0.012,0.156,0.4,1,8.6,95.4,13.3,93.7,0,0,0
"439","20K186",1032,0.771,0.002,0.182,0.741,1,8,96.3,6.1,96.4,0,0,0
"440","20K192",677,0.9,0.018,0.219,0.858,0,20.5,93.3,23.8,91.4,0,0,1
"441","20K200",1316,0.782,0.007,0.134,0.828,1,16,94.2,26.3,92.7,1,0,0
"442","20K204",1178,0.652,0.003,0.15,0.772,1,5.1,96.9,13.3,94.7,1,0,0
"443","20K205",1278,0.733,0.01,0.167,0.681,1,11.7,96,24.4,92.6,1,0,0
"444","20K229",1249,0.505,0.014,0.149,0.607,1,9.1,96.8,35.3,93.4,1,0,0
"445","20K247",873,0.714,0.003,0.192,0.669,0,10.9,96.2,15.8,95.3,0,0,1
"446","20K264",480,0.636,0.029,0.252,0.694,1,17.2,94.4,32.3,92.1,0,0,0
"447","20K310",409,0.893,0,0.117,0.951,0,3.3,98.6,0,98.4,0,0,1
"448","20K503",1072,0.937,0.006,0.238,0.963,1,15.3,95,25.5,93.5,0,0,0
"449","20K506",793,0.913,0.009,0.201,0.963,1,14.8,94.9,34.8,93.6,0,0,0
"450","20K682",378,0.394,0.05,0.302,0.381,0,5.6,96,5.3,96.2,0,0,1
"451","20K686",566,0.271,0.049,0.072,0.226,0,1.6,95.8,30.19986,91.86482,1,1,1
"452","20K748",548,0.654,0.004,0.144,0.732,0,9.8,95.4,25,92.4,1,1,1
"453","20K971",357,0.886,0.011,0.112,0.922,0,7.2,97.1,14.3,95.5,0,0,1
"454","21K090",667,0.891,0.171,0.187,0.85,1,35.5,90.7,64.7,87.8,0,0,0
"455","21K095",943,0.795,0.082,0.176,0.754,1,15,95.4,42.9,92.3,1,0,0
"456","21K097",780,0.709,0.01,0.176,0.683,1,13.3,95.5,27.6,93.1,0,0,0
"457","21K099",876,0.807,0.075,0.14,0.755,1,25.8,93.2,30,91.1,1,0,0
"458","21K100",793,0.45,0.03,0.184,0.512,1,11.1,93.7,16,93.2,0,0,0
"459","21K101",870,0.688,0.008,0.243,0.67,1,15.2,95.2,36.4,91.4,0,0,0
"460","21K121",336,0.727,0.024,0.277,0.652,0,4.2,96.4,7.1,95,0,0,1
"461","21K128",467,0.816,0.011,0.182,0.872,1,14.9,94.8,7.1,95.1,0,0,0
"462","21K153",563,0.824,0.012,0.195,0.799,1,13.5,95.1,16.7,94.4,0,0,0
"463","21K177",1022,0.803,0.007,0.166,0.785,1,19.9,94.8,20,94.2,0,0,0
"464","21K188",437,0.922,0.497,0.295,0.904,1,46.1,86.5,33.3,87.2,0,0,0
"465","21K199",556,0.812,0.054,0.198,0.847,1,19.8,93.8,35.3,92.5,0,0,0
"466","21K209",733,0.7,0.034,0.266,0.799,1,17.4,95,13.8,95.1,0,0,0
"467","21K212",699,0.851,0.119,0.242,0.868,1,30.9,92.1,43.2,89.1,0,0,0
"468","21K215",920,0.695,0.021,0.147,0.742,1,19.5,93.5,33.3,92.3,1,0,0
"469","21K216",762,0.679,0.033,0.144,0.753,1,12,94.8,31.6,92.1,0,0,0
"470","21K225",1011,0.827,0.02,0.201,0.782,1,18.3,93.9,7.7,94.9,0,0,0
"471","21K226",1030,0.795,0.017,0.165,0.865,1,20.5,94,18.2,93.8,0,0,0
"472","21K238",611,0.869,0.041,0.211,0.846,1,27.5,93.3,40,92,0,0,0
"473","21K253",921,0.896,0.003,0.155,0.848,1,13.1,94.9,8.7,95,0,0,0
"474","21K288",663,0.955,0.599,0.308,0.935,1,54.3,87.1,57.7,86.9,0,0,0
"475","21K329",414,0.935,0.594,0.268,0.961,1,44.3,89.6,61.3,87.3,0,0,0
"476","22K052",823,0.701,0.146,0.13,0.764,1,17.5,93.8,36.8,92.1,1,0,0
"477","22K109",681,0.75,0.8,0.256,0.872,1,35.3,91.1,50,87.2,0,0,0
"478","22K119",442,0.726,0.624,0.163,0.733,1,14,95.4,14.3,95.2,0,0,0
"479","22K134",570,0.85,0.056,0.139,0.796,1,4.8,95.6,0,95.7,0,0,0
"480","22K139",992,0.753,0.255,0.185,0.816,1,19.1,94.1,28.6,92.5,0,0,0
"481","22K152",734,0.824,0.602,0.228,0.807,1,19.7,94.4,23.1,93.3,0,0,0
"482","22K193",758,0.661,0.451,0.208,0.764,1,19.5,93.8,32.1,92.3,1,0,0
"483","22K194",590,0.904,0.461,0.258,0.883,1,34.7,92.2,40,91.8,0,0,0
"484","22K195",481,0.318,0.019,0.062,0.322,0,34.2,92.2,30.19986,91.86482,1,1,1
"485","22K197",664,0.691,0.102,0.179,0.646,1,15.7,94,20,92.9,1,0,0
"486","22K198",390,0.75,0.854,0.226,0.836,1,22.1,92.4,23.8,90,0,0,0
"487","22K203",729,0.658,0.765,0.217,0.671,1,11.9,95.1,7.7,96.3,0,0,0
"488","22K206",1505,0.608,0.016,0.128,0.736,1,13.1,95.9,11.5,94.8,0,0,0
"489","22K207",1228,0.389,0.339,0.194,0.518,1,7.3,95.5,4,95.4,0,0,0
"490","22K217",1186,0.802,0.095,0.148,0.777,1,17.3,94,32.4,92.3,0,0,0
"491","22K222",932,0.435,0.132,0.235,0.54,1,12.8,95.1,22.9,94,0,0,0
"492","22K236",554,0.366,0.209,0.143,0.475,1,7.6,95,7.7,94.3,1,0,0
"493","22K245",308,0.824,0.545,0.244,0.958,1,2.4,95.3,0,94.8,0,0,0
"494","22K251",524,0.77,0.729,0.2,0.75,1,25.3,92.3,27.3,90.7,0,0,0
"495","22K254",789,0.549,0.009,0.142,0.58,1,14.4,94.6,9.5,93.8,0,0,0
"496","22K255",936,0.726,0.025,0.166,0.77,1,18.1,94.5,38.5,92,0,0,0
"497","22K277",421,0.386,0.024,0.207,0.527,1,10.3,95.3,9.5,94.2,0,0,0
"498","22K312",792,0.454,0.389,0.196,0.574,1,19.9,92.9,25.8,90.2,0,0,0
"499","22K315",677,0.835,0.558,0.27,0.903,1,20.7,93.8,37.8,92,0,0,0
"500","22K361",418,0.857,0.775,0.213,0.888,1,23.1,93.2,30.19986,91.86482,0,0,0
"501","23K041",457,0.964,0.6,0.33,0.987,1,48.1,87.6,50,87.4,0,0,0
"502","23K137",303,0.895,0.749,0.3,0.934,1,30.8,90.5,41.2,88.3,0,0,0
"503","23K150",171,0.975,0.649,0.363,0.988,1,51.6,89.6,38.5,90.7,0,0,0
"504","23K155",416,0.938,0.512,0.228,0.974,1,50.9,88.5,46.2,91.4,0,0,0
"505","23K156",714,0.89,0.797,0.231,0.917,1,46.9,88.5,56.3,85.8,0,0,0
"506","23K165",229,0.954,0.79,0.284,0.939,1,37.1,88.6,41.2,90.4,0,0,0
"507","23K178",377,0.918,0.753,0.207,0.894,1,42,89.5,58.3,88.7,0,0,0
"508","23K184",567,0.953,0.718,0.287,0.915,1,34.4,90.4,36.8,89.8,0,0,0
"509","23K284",474,0.972,0.662,0.287,0.947,1,41.1,89.6,52.6,87.5,0,0,0
"510","23K298",262,0.973,0.718,0.244,0.989,1,33.3,91.2,25,93.5,0,0,0
"511","23K323",569,0.926,0.775,0.188,0.944,1,50,88.6,30.19986,91.86482,0,0,0
